,Filename,Scene ID,Total LNP intensity in entire img,Total membrane intensity in entire img,Total nucleus intensity in entire img,LNP intensity in membrane mask,LNP intensity in nucleus mask,LNP intensity in inner membrane mask,LNP intensity in outer membrane mask,LNP intensity in membrane mask per membrane count,LNP intensity in membrane mask per nucleus count,LNP intensity in nucleus mask per nucleus count,Frac LNP intensity in membrane mask over total LNP intensity,Frac LNP intensity in nucleus mask over total LNP intensity,Frac LNP intensity in membrane inner mask over LNP intensity in membrane mask,Frac LNP intensity in membrane outer mask over LNP intensity in membrane mask,Membrane count,Nucleus count
0,exp_1_LNP_np.czi,0,2170517,11580895,4113451,585277,266930,491333,93944,34428.05882352941,23411.08,10677.2,0.2696486597432777,0.1229799167663741,0.8394879689446194,0.1605120310553806,17,25
1,exp_1_LNP_np.czi,1,2476863,24007616,6643688,1015639,413434,904319,111320,67709.26666666666,29018.257142857143,11812.4,0.4100505356977758,0.1669183963747692,0.8903941262594288,0.1096058737405712,15,35
2,exp_1_LNP_np.czi,2,2585159,26000585,8196553,1131077,406750,989678,141399,66533.94117647059,29001.97435897436,10429.48717948718,0.4375270534617019,0.1573404189065353,0.8749872908740961,0.1250127091259039,17,39
3,exp_1_LNP_np.czi,3,2310328,30273606,13382576,942666,493467,845850,96816,47133.3,24170.92307692308,12653.0,0.408022583806282,0.2135917497428936,0.8972955426418264,0.1027044573581735,20,39
4,exp_1_LNP_np.czi,4,2619181,32926922,8799630,1170506,523455,1065059,105447,106409.63636363635,32514.055555555555,14540.416666666666,0.4468977134455389,0.1998544583211317,0.9099133195387294,0.0900866804612706,11,36
5,exp_1_LNP_np.czi,5,2474903,26636551,9343210,976591,372403,873202,103389,48829.55,27902.6,10640.085714285717,0.3945976872628947,0.150471755862755,0.8941327536297181,0.1058672463702819,20,35
6,exp_1_LNP_np.czi,6,2177759,43811161,8693977,951435,368752,849773,101662,59464.6875,16691.842105263157,6469.333333333333,0.4368871854048129,0.1693263579670661,0.8931487700158182,0.1068512299841817,16,57
7,exp_1_LNP_np.czi,7,2069983,37435238,9491611,560066,188681,477504,82562,37337.73333333333,19312.620689655178,6506.241379310345,0.2705655070597198,0.0911509901289044,0.8525852310263433,0.1474147689736566,15,29
8,exp_1_LNP_np.czi,8,2118248,31643437,9556479,568830,224546,472646,96184,29938.42105263158,16252.285714285714,6415.6,0.268537961560686,0.1060055290976316,0.8309090589455549,0.169090941054445,19,35
9,exp_1_LNP_np.czi,9,2604273,36780775,11010529,1116934,504563,999035,117899,55846.7,27242.29268292683,12306.414634146342,0.4288851437618099,0.1937442810335168,0.8944440763733578,0.1055559236266422,20,41
