,Filename,Scene ID,Total LNP intensity in entire img,Total membrane intensity in entire img,Total nucleus intensity in entire img,LNP intensity in membrane mask,LNP intensity in nucleus mask,LNP intensity in inner membrane mask,LNP intensity in outer membrane mask,LNP intensity in membrane mask per membrane count,LNP intensity in membrane mask per nucleus count,LNP intensity in nucleus mask per nucleus count,Frac LNP intensity in membrane mask over total LNP intensity,Frac LNP intensity in nucleus mask over total LNP intensity,Frac LNP intensity in membrane inner mask over LNP intensity in membrane mask,Frac LNP intensity in membrane outer mask over LNP intensity in membrane mask,Membrane count,Nucleus count
0,exp1_cellonly.czi,0,255811,1098250,3243507,0,0,0,0,,,,0.0,0.0,,,0,0
1,exp1_cellonly.czi,1,255190,1098329,3175271,0,0,0,0,,,,0.0,0.0,,,0,0
2,exp1_cellonly.czi,2,450480,1305416,5564932,0,0,0,0,,,,0.0,0.0,,,0,0
3,exp1_cellonly.czi,3,230475,1129224,3722323,0,0,0,0,,,,0.0,0.0,,,0,0
4,exp1_cellonly.czi,4,304656,1182547,4350048,0,0,0,0,,,,0.0,0.0,,,0,0
5,exp1_cellonly.czi,5,537533,1381873,6764378,0,0,0,0,,,,0.0,0.0,,,0,0
6,exp1_cellonly.czi,6,321053,1456616,3836526,0,0,0,0,,,,0.0,0.0,,,0,0
7,exp1_cellonly.czi,7,353870,1315067,4908539,0,0,0,0,,,,0.0,0.0,,,0,0
8,exp1_cellonly.czi,8,709867,1421883,7761494,0,0,0,0,,,,0.0,0.0,,,0,0
9,exp1_cellonly.czi,9,277158,1243912,4077537,0,0,0,0,,,,0.0,0.0,,,0,0
10,exp1_cellonly.czi,10,419074,1362211,5817460,0,0,0,0,,,,0.0,0.0,,,0,0
11,exp1_cellonly.czi,11,776888,1435897,7999765,0,0,0,0,,,,0.0,0.0,,,0,0
12,exp2_pmix.czi,0,342326,17841825,9132988,113769,58581,96967,16802,8126.357142857143,5688.45,2929.05,0.3323411017568049,0.171126353242231,0.8523147781908956,0.1476852218091044,14,20
13,exp2_pmix.czi,1,412758,13940854,10412462,84335,32015,69275,15060,7027.916666666667,5622.333333333333,2134.3333333333335,0.2043206915432287,0.0775636087004976,0.8214264540226478,0.1785735459773522,12,15
