,Filename,Scene ID,Total LNP intensity in entire img,Total lysosome intensity in entire img,Total nucleus intensity in entire img,LNP intensity in nucleus mask,LNP intensity in lysosome mask,LNP intensity in lysosome mask per nucleus count,Frac LNP intensity in lysosome mask over LNP intensity in nucleus mask,Frac LNP intensity in lysosome mask over total LNP intensity,Lysosome mask count,Nucleus count
0,exp1_PBS.czi,0,50367,5413335,30020169,9623,727,30.291666666666668,0.0755481658526447,0.014434054043322,200,24
1,exp1_PBS.czi,1,41282,4565897,22273917,5019,522,34.8,0.1040047818290496,0.0126447362046412,174,15
2,exp1_PBS.czi,2,84436,9396528,29902105,8585,3315,103.59375,0.3861386138613861,0.0392605049978682,827,32
3,exp1_PBS.czi,3,43788,3528369,8922213,6459,402,36.54545454545455,0.0622387366465397,0.0091805974239517,107,11
4,exp1_PBS.czi,4,71380,8234937,35963132,9691,2306,79.51724137931035,0.2379527396553503,0.0323059680582796,541,29
5,exp1_PBS.czi,5,78954,7862337,28257880,7110,3016,116.0,0.4241912798874824,0.038199457912202,490,26
6,exp1_PBS.czi,6,33316,3895666,12586574,2760,215,11.944444444444445,0.0778985507246376,0.0064533557449873,111,18
7,exp1_PBS.czi,7,53704,6546518,27336469,6376,1658,63.76923076923077,0.2600376411543287,0.0308729331148517,313,26
8,exp1_PBS.czi,8,57510,4860755,18198943,6713,570,43.84615384615385,0.0849098763593028,0.0099113197704747,211,13
9,exp1_PBS.czi,9,54909,6942011,25728648,7868,1424,54.76923076923077,0.1809862735129639,0.0259338177712214,361,26
10,exp1_PBS.czi,10,67178,6547598,23389049,5498,3251,171.10526315789474,0.5913059294288833,0.0483938194051624,441,19
11,exp1_PBS.czi,11,59607,3527083,5301599,1634,1563,223.28571428571428,0.956548347613219,0.0262217524787357,113,7
12,exp2_LNP_np.czi,0,1050633,6480673,40426445,98826,5358,184.75862068965515,0.0542165017303138,0.0050997827024279,204,29
13,exp2_LNP_np.czi,1,703235,3489948,13094210,31185,1025,113.88888888888889,0.0328683662016995,0.0014575497522165,85,9
14,exp2_LNP_np.czi,2,697676,4891167,19795668,18227,7342,458.875,0.402809019586328,0.0105235094800451,173,16
15,exp2_LNP_np.czi,3,720195,4640904,20775664,16005,1620,108.0,0.1012183692596063,0.0022493907899943,183,15
16,exp2_LNP_np.czi,4,1080173,5520854,21437641,198013,2291,114.55,0.0115699474276941,0.0021209565504784,225,20
17,exp2_LNP_np.czi,5,727541,4682551,12916990,10015,2769,230.75,0.2764852720918622,0.0038059710724206,203,12
18,exp2_LNP_np.czi,6,657441,5146644,25088716,16380,2483,130.68421052631578,0.1515873015873015,0.003776764759119,189,19
19,exp2_LNP_np.czi,7,688728,5299447,26599741,17357,1823,86.80952380952381,0.1050296710260989,0.0026469085037924,187,21
20,exp2_LNP_np.czi,8,667481,2242041,747519,22461,0,0.0,0.0,0.0,0,1
21,exp2_LNP_np.czi,9,714475,6243673,21069135,49707,3241,140.91304347826087,0.065202084213491,0.0045361979075544,227,23
22,exp2_LNP_np.czi,10,706425,5461362,16741425,21429,4635,220.71428571428572,0.2162956740865182,0.0065612060728315,266,21
23,exp2_LNP_np.czi,11,692706,4780023,9521032,6287,4718,524.2222222222222,0.7504374105296644,0.0068109703106368,202,9
24,exp3_LNP_APOE.czi,0,2023215,6528601,38379312,386862,17337,642.1111111111111,0.0448144299517657,0.0085690349270838,370,27
25,exp3_LNP_APOE.czi,1,1482093,3407453,13191522,47986,10489,1165.4444444444443,0.2185845871712582,0.0070771537278699,72,9
26,exp3_LNP_APOE.czi,2,1414472,4560442,16153961,34018,2054,136.93333333333334,0.0603797989299782,0.0014521319616082,173,15
27,exp3_LNP_APOE.czi,3,2916422,8740496,26577468,300641,115876,3995.7241379310344,0.3854297983308996,0.0397322472536553,848,29
28,exp3_LNP_APOE.czi,4,2913502,6314875,31574426,339421,82152,3042.6666666666665,0.2420357019748336,0.0281969945447094,357,27
29,exp3_LNP_APOE.czi,5,1562017,3021768,6173068,60792,5329,1332.25,0.0876595604684827,0.0034116145983046,36,4
30,exp3_LNP_APOE.czi,6,2011570,5102177,20567101,176773,12334,725.5294117647059,0.0697730988329665,0.0061315291041325,154,17
31,exp3_LNP_APOE.czi,7,1980693,5507228,23307266,154854,27224,1432.842105263158,0.17580430599145,0.0137446843099864,247,19
32,exp3_LNP_APOE.czi,8,1494004,3449407,6963147,52724,7409,1481.8,0.1405242394355511,0.0049591567358588,66,5
33,exp3_LNP_APOE.czi,9,2163933,4273376,14760538,152082,23448,1674.857142857143,0.1541799818518957,0.0108358253236121,160,14
34,exp3_LNP_APOE.czi,10,2136979,5364231,14159131,143633,41900,2618.75,0.2917156920763334,0.0196071182730387,275,16
35,exp3_LNP_APOE.czi,11,1652654,3900534,6301788,33076,35721,5103.0,1.0799673479259886,0.0216143245954688,77,7
36,exp4_LNP_VTN.czi,0,1843898,6889548,37868662,121698,13468,354.42105263157896,0.1106673897681145,0.0073040916579984,281,38
37,exp4_LNP_VTN.czi,1,1485129,2884439,7302650,28582,1020,255.0,0.0356867958855223,0.0006868090246705,32,4
38,exp4_LNP_VTN.czi,2,1465804,3823923,17038105,32404,2050,205.0,0.06326379459326,0.0013985498743351,84,10
39,exp4_LNP_VTN.czi,3,1578814,4813542,25042460,66875,5114,255.7,0.0764710280373831,0.0032391402660478,132,20
40,exp4_LNP_VTN.czi,4,1771603,4045805,18381943,113048,13289,830.5625,0.1175518363880829,0.0075011162207334,125,16
41,exp4_LNP_VTN.czi,5,1403715,3207151,5137399,12524,5464,1092.8,0.4362823379112104,0.0038925280416608,94,5
42,exp4_LNP_VTN.czi,6,1828180,6440198,29723806,114201,9830,351.07142857142856,0.0860763040603847,0.0053769322495596,221,28
43,exp4_LNP_VTN.czi,7,1592751,4875037,19402896,41819,3675,245.0,0.0878787154164375,0.0023073286408233,212,15
44,exp4_LNP_VTN.czi,8,1732590,5341098,17827763,55481,6897,431.0625,0.1243128278149276,0.0039807455889737,240,16
45,exp4_LNP_VTN.czi,9,1761248,4247962,16340396,60557,3631,242.06666666666663,0.059960037650478,0.0020616063155217,121,15
46,exp4_LNP_VTN.czi,10,1771727,5071116,18782291,64839,15309,1093.5,0.2361078980243372,0.0086407217364752,193,14
47,exp4_LNP_VTN.czi,11,1749042,4796867,9818400,41948,14000,1555.5555555555557,0.3337465433393725,0.0080043818273088,149,9
48,exp5_LNP_A2M.czi,0,745112,4485949,21018833,38659,1770,104.11764705882354,0.045784940117437,0.0023754818067619,115,17
49,exp5_LNP_A2M.czi,1,709125,5174688,20317492,17084,5514,306.3333333333333,0.3227581362678529,0.0077757800105764,201,18
50,exp5_LNP_A2M.czi,2,673804,4666129,18762988,10591,3052,218.0,0.2881692002643754,0.0045295070970193,179,14
51,exp5_LNP_A2M.czi,3,681565,7690821,44861065,28209,2405,60.125,0.0852564784288702,0.0035286436363369,351,40
52,exp5_LNP_A2M.czi,4,743167,7811033,37736469,34250,8650,227.6315789473684,0.2525547445255474,0.0116393758065145,490,38
53,exp5_LNP_A2M.czi,5,778452,2670782,4449057,2694,41,10.25,0.0152190051967334,5.2668629536567446e-05,12,4
54,exp5_LNP_A2M.czi,6,955358,7413053,47954221,87043,3661,104.6,0.0420596716565375,0.003832071328235,316,35
55,exp5_LNP_A2M.czi,7,721654,4445583,22041493,21234,2462,153.875,0.1159461241405293,0.0034116072245147,138,16
56,exp5_LNP_A2M.czi,8,711069,4353892,16672427,7284,2339,212.63636363636363,0.3211147721032399,0.0032894135449583,136,11
57,exp5_LNP_A2M.czi,9,801376,4912113,17311981,65604,2534,120.66666666666669,0.038625693555271,0.003162061254642,197,21
58,exp5_LNP_A2M.czi,10,687578,5880617,15514771,13921,10858,638.7058823529412,0.7799727031104088,0.0157916629095171,292,17
59,exp5_LNP_A2M.czi,11,1232932,4176232,10759097,17451,3247,360.77777777777777,0.1860638358833304,0.0026335596772571,129,9
60,exp6_LNP_CR.czi,0,2008886,4837846,26988608,292885,944,47.2,0.00322310804582,0.0004699121801834,110,20
