,Filename,Scene ID,Total LNP intensity in entire img,Total lysosome intensity in entire img,Total nucleus intensity in entire img,LNP intensity in nucleus mask,LNP intensity in lysosome mask,LNP intensity in lysosome mask per nucleus count,Frac LNP intensity in lysosome mask over LNP intensity in nucleus mask,Frac LNP intensity in lysosome mask over total LNP intensity,Lysosome mask count,Nucleus count
0,exp5_L_cellonly.czi,0,171752,9000260,33452583,18381,8238,1029.75,0.4481801860616941,0.0479645069635288,895,8
1,exp5_L_cellonly.czi,1,76934,5996698,15604416,12854,4307,1076.75,0.3350707950832425,0.0559830504068422,446,4
2,exp5_L_cellonly.czi,2,1823892,4513252,6527761,0,0,,,0.0,0,0
3,exp5_L_cellonly.czi,3,1927578,4686474,7484761,0,0,,,0.0,0,0
4,exp5_L_cellonly.czi,4,1109716,3599062,7279740,0,0,,,0.0,0,0
5,exp5_L_cellonly.czi,5,1558692,3920092,5311400,0,0,,,0.0,0,0
6,exp5_L_cellonly.czi,6,1846898,4623474,6425932,0,0,,,0.0,0,0
7,exp5_L_cellonly.czi,7,788418,3531220,9166422,5259,0,0.0,0.0,0.0,0,3
8,exp5_L_cellonly.czi,8,1693484,4237300,5468236,0,0,,,0.0,0,0
9,exp5_L_cellonly.czi,9,1757776,4369504,5800606,0,0,,,0.0,0,0
10,exp5_L_cellonly.czi,10,1765692,4413224,6006202,0,0,,,0.0,0,0
11,exp5_L_cellonly.czi,11,482860,1379368,2454094,0,0,,,0.0,0,0
12,exp6_L_LNP control.czi,0,1067842,12229660,99338087,132144,25174,1480.8235294117646,0.1905042983412035,0.0235746486839813,1298,17
13,exp6_L_LNP control.czi,1,1703418,5723594,15406285,21176,7448,2482.6666666666665,0.3517189270872686,0.0043723854039349,213,3
14,exp6_L_LNP control.czi,2,1101941,4763170,3309749,7252,685,342.5,0.0944567015995587,0.0006216303776699,27,2
15,exp6_L_LNP control.czi,3,919480,10938646,87231507,71852,20291,1449.357142857143,0.282399933196014,0.0220679079479705,1124,14
16,exp6_L_LNP control.czi,4,1349422,9281743,61405798,229934,11786,906.6153846153846,0.0512581871319596,0.008734109863334,818,13
17,exp6_L_LNP control.czi,5,983132,7518460,25779237,25102,7200,2400.0,0.2868297346824954,0.0073235333607287,623,3
18,exp6_L_LNP control.czi,6,858156,7939420,57844047,39650,8004,727.6363636363636,0.2018663303909205,0.0093269755149413,591,11
19,exp6_L_LNP control.czi,7,877091,7115570,52450378,33432,2743,391.8571428571428,0.0820471404642258,0.0031273835896161,377,7
20,exp6_L_LNP control.czi,8,973659,7023102,22310464,21890,5296,882.6666666666666,0.2419369575148469,0.0054392759682804,304,6
21,exp6_L_LNP control.czi,9,891696,5551856,8787076,10952,3146,1048.6666666666667,0.2872534696859021,0.0035281082341964,160,3
