,Filename,Scene ID,Total intensity LNP in entire img,Total intensity nucleus in entire img,Total intensity membrane in entire img,Intensity LNP in membrane mask,Intensity LNP in nucleus mask,Intensity LNP per membrane count,Intensity LNP per nucleus count,Frac intensity LNP in membrane mask over img,Frac intensity LNP in nucleus mask over img,Intensity LNP in membrane inner mask,Intensity LNP in membrane outer mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Membrane count,Nucleus count
0,exp_1_LNP_np.czi,0,2170517,11580895,4113451,645792,267615,33989.05263157895,10292.884615384615,0.2975291140313575,0.1232955097794673,541978,103814,0.8392454536445171,0.1607545463554829,19,26
1,exp_1_LNP_np.czi,1,2476863,24007616,6643688,990352,413434,61897.0,11812.4,0.39984125080797767,0.1669183963747692,866691,123661,0.8751342956847666,0.12486570431523338,16,35
2,exp_1_LNP_np.czi,2,2585159,26000585,8196553,1130430,428442,59496.31578947369,10711.05,0.43727677872038045,0.16573139215034743,980427,150003,0.867304477057403,0.13269552294259707,19,40
3,exp_1_LNP_np.czi,3,2310328,30273606,13382576,895634,500997,40710.63636363636,12524.925,0.3876653012039849,0.21685102721345195,768247,127387,0.8577689100681751,0.14223108993182482,22,40
4,exp_1_LNP_np.czi,4,2619181,32926922,8799630,1160633,523455,96719.41666666667,14540.416666666666,0.4431282145067485,0.1998544583211317,1032963,127670,0.889999681208444,0.11000031879155599,12,36
5,exp_1_LNP_np.czi,5,2474903,26636551,9343210,983829,372403,44719.5,10640.085714285715,0.3975222463264217,0.15047175586275502,866549,117280,0.8807922921564622,0.11920770784353785,22,35
6,exp_1_LNP_np.czi,6,2177759,43811161,8693977,868745,368752,51102.64705882353,6469.333333333333,0.3989169600492984,0.16932635796706613,738638,130107,0.8502356848096968,0.14976431519030325,17,57
7,exp_1_LNP_np.czi,7,2069983,37435238,9491611,539504,188681,29972.444444444445,6506.241379310345,0.2606320921476167,0.09115099012890444,440816,98688,0.817076425754026,0.18292357424597408,18,29
8,exp_1_LNP_np.czi,8,2118248,31643437,9556479,542780,246672,24671.81818181818,6852.0,0.2562400625422519,0.11645095380710851,435736,107044,0.8027856590147021,0.19721434098529791,22,36
9,exp_1_LNP_np.czi,9,2604273,36780775,11010529,1058859,513801,44119.125,12233.357142857143,0.406585254310896,0.19729152819232085,909315,149544,0.8587687312475032,0.14123126875249678,24,42
10,exp_1_LNP_np.czi,10,2895262,40885202,8336273,949966,504651,49998.21052631579,21941.347826086956,0.3281105475083084,0.17430236020090756,774180,175786,0.8149554826172726,0.18504451738272737,19,23
11,exp_1_LNP_np.czi,11,2359975,43211819,27694971,1003171,533396,50158.55,15688.117647058823,0.4250769605610229,0.22601764849203912,850462,152709,0.8477737095669632,0.15222629043303684,20,34
12,exp_2_cellonly_np.czi,0,156052,19896119,6028621,52458,22528,2914.3333333333335,834.3703703703703,0.3361571783764386,0.14436213569835696,45452,7006,0.8664455373822868,0.13355446261771323,18,27
13,exp_2_cellonly_np.czi,1,157972,11776811,3560307,20394,7322,3399.0,1464.4,0.12909882764034133,0.046349986073481377,16949,3445,0.8310777679709719,0.16892223202902815,6,5
14,exp_2_cellonly_np.czi,2,216612,15182644,7296585,61419,23248,3838.6875,704.4848484848485,0.28354384798626114,0.10732554059793548,52279,9140,0.8511861150458327,0.14881388495416728,16,33
15,exp_2_cellonly_np.czi,3,168764,38868703,14045537,69652,42848,3316.7619047619046,1586.962962962963,0.4127183522552203,0.2538930103576592,58944,10708,0.8462642853040832,0.15373571469591685,21,27
16,exp_2_cellonly_np.czi,4,212956,31815742,21105721,80765,42056,4250.789473684211,1356.6451612903227,0.3792567478728,0.19748680478596517,68368,12397,0.8465052931344023,0.1534947068655977,19,31
17,exp_2_cellonly_np.czi,5,269898,27755090,15624949,102646,42629,4887.9047619047615,1039.7317073170732,0.3803140445649838,0.15794485324085394,88251,14395,0.8597607310562516,0.1402392689437484,21,41
18,exp_2_cellonly_np.czi,6,189610,27192440,11878983,85114,50765,3404.56,1153.75,0.44888982648594483,0.2677337693159643,69071,16043,0.8115116197100359,0.18848838028996404,25,44
19,exp_2_cellonly_np.czi,7,205730,27963809,10238963,74480,34996,3724.0,1458.1666666666667,0.3620279006464784,0.1701064502017207,64464,10016,0.8655209452201933,0.13447905477980665,20,24
20,exp_2_cellonly_np.czi,8,249014,14851942,9853107,55035,25326,3439.6875,904.5,0.22101167002658484,0.10170512501305147,46421,8614,0.8434814209139638,0.15651857908603617,16,28
21,exp_2_cellonly_np.czi,9,207114,52251745,13876390,111350,55455,6186.111111111111,1008.2727272727273,0.5376266210879033,0.26775109360062577,98515,12835,0.8847328244274809,0.11526717557251909,18,55
22,exp_2_cellonly_np.czi,10,232762,28933032,12494333,67870,35832,4847.857142857143,1628.7272727272727,0.2915853962416546,0.1539426538696179,59109,8761,0.8709149845292471,0.1290850154707529,14,22
23,exp_2_cellonly_np.czi,11,270286,28398445,16181330,83455,41012,3793.409090909091,1464.7142857142858,0.30876552984616296,0.1517355689898848,71359,12096,0.855059612965071,0.144940387034929,22,28
24,exp_3_LNP_VTN.czi,0,5446933,12684475,14291032,3532845,1617304,160583.86363636365,50540.75,0.6485934378117006,0.29692012000147605,2910132,622713,0.8237361106983182,0.1762638893016818,22,32
25,exp_3_LNP_VTN.czi,1,4670861,19237464,14612950,2823890,1265957,156882.77777777778,45212.75,0.6045759015307884,0.2710328995018263,2320204,503686,0.8216339871595565,0.1783660128404435,18,28
26,exp_3_LNP_VTN.czi,2,3390824,11095102,12799443,1572390,619635,71472.27272727272,16306.184210526315,0.4637191431935129,0.18273876792189744,1188913,383477,0.7561183930195435,0.2438816069804565,22,38
27,exp_3_LNP_VTN.czi,3,6628228,16569751,14228546,4542745,2118124,302849.6666666667,68326.58064516129,0.685363418397798,0.31956112553762483,3980944,561801,0.876330060348974,0.12366993965102598,15,31
28,exp_3_LNP_VTN.czi,4,6459415,16478763,27178584,4318903,2025366,227310.68421052632,81014.64,0.6686213844442569,0.31355254307085084,3507417,811486,0.8121083062064604,0.1878916937935397,19,25
29,exp_3_LNP_VTN.czi,5,4881210,8184920,13085441,2694324,1172386,134716.2,40427.10344827586,0.551978710196857,0.24018347909637158,2120497,573827,0.7870237580929391,0.2129762419070609,20,29
30,exp_3_LNP_VTN.czi,6,6850462,6097103,20798827,3874530,2477866,184501.42857142858,77433.3125,0.565586671380704,0.36170786729420584,3013376,861154,0.7777397516602014,0.22226024833979863,21,32
31,exp_3_LNP_VTN.czi,7,5422870,6016900,18180522,2895502,1711249,160861.22222222222,74402.13043478261,0.5339427277437961,0.3155615015665137,2278675,616827,0.7869706185663142,0.21302938143368577,18,23
32,exp_3_LNP_VTN.czi,8,4025352,3632064,19409424,1460802,1432833,69562.0,55108.96153846154,0.3629004370301032,0.3559522247992225,1019437,441365,0.6978611748888625,0.3021388251111376,21,26
33,exp_3_LNP_VTN.czi,9,7290660,22517352,16115121,4590380,2271916,255021.11111111112,94663.16666666667,0.6296247527658676,0.3116200728054799,3879877,710503,0.845219132185135,0.154780867814865,18,24
34,exp_3_LNP_VTN.czi,10,6366783,18153770,21601578,3937815,1985492,218767.5,82728.83333333333,0.6184936725501717,0.31185168396661234,3191252,746563,0.8104118654634613,0.18958813453653867,18,24
35,exp_3_LNP_VTN.czi,11,4888455,10152365,11413641,2635226,1122743,114575.04347826086,40097.96428571428,0.5390713425816541,0.22967236069473893,2230032,405194,0.8462393737766704,0.15376062622332962,23,28
36,exp_4_cellonly_VTN.czi,0,187178,13016910,21286056,78323,48650,4895.1875,1131.3953488372092,0.41844126980734914,0.2599130239664918,66634,11689,0.8507590362984053,0.14924096370159468,16,43
37,exp_4_cellonly_VTN.czi,1,223638,8689859,17570148,60733,40070,3036.65,1821.3636363636363,0.2715683381178512,0.1791734857224622,50578,10155,0.8327927156570563,0.1672072843429437,20,22
38,exp_4_cellonly_VTN.czi,2,370046,12128147,16972408,93120,56459,4232.727272727273,1764.34375,0.25164439015689943,0.1525729233662842,75800,17320,0.8140034364261168,0.18599656357388317,22,32
39,exp_4_cellonly_VTN.czi,3,223121,21031564,21719770,109901,57830,5233.380952380952,1652.2857142857142,0.492562331649643,0.2591867193137356,95601,14300,0.8698828946051447,0.13011710539485538,21,35
40,exp_4_cellonly_VTN.czi,4,303674,28351127,19933273,104845,50082,6552.8125,2003.28,0.3452551090972556,0.1649202763489795,90489,14356,0.8630740617101436,0.13692593828985644,16,25
41,exp_4_cellonly_VTN.czi,5,407870,15554903,14246290,109206,57524,4044.6666666666665,1554.7027027027027,0.2677470762743031,0.14103513374359478,87786,21420,0.8038569309378606,0.19614306906213944,27,37
42,exp_4_cellonly_VTN.czi,6,268226,17326236,24321286,104727,53749,6981.8,1580.8529411764705,0.39044313377524925,0.20038698709297384,90458,14269,0.8637505132391838,0.13624948676081622,15,34
43,exp_4_cellonly_VTN.czi,7,371706,16957514,19451437,99962,58136,6247.625,2236.0,0.2689275933129947,0.15640317885640803,82108,17854,0.8213921290090235,0.17860787099097658,16,26
44,exp_4_cellonly_VTN.czi,8,413720,8145775,12099235,84548,48440,4227.4,1863.076923076923,0.20436043701053852,0.11708401817654453,68991,15557,0.8159980129630505,0.18400198703694942,20,26
45,exp_4_cellonly_VTN.czi,9,303921,23693335,21441034,112107,66207,4874.217391304348,2283.0,0.36886888369016946,0.21784279467361584,94333,17774,0.841455038490014,0.15854496150998598,23,29
46,exp_4_cellonly_VTN.czi,10,416596,20146982,21034539,103623,73659,4934.428571428572,3348.1363636363635,0.24873738586064195,0.17681158724519677,82638,20985,0.7974870443820388,0.20251295561796126,21,22
47,exp_4_cellonly_VTN.czi,11,495677,13148513,14467597,120331,68889,6685.055555555556,2460.3214285714284,0.2427609108350801,0.1389796177752851,100536,19795,0.8354954251190466,0.16450457488095338,18,28
48,exp_5_LNP_A2M.czi,0,2244914,35447345,10169256,840240,412425,46680.0,13747.5,0.37428605282874977,0.18371527817992137,751485,88755,0.8943694658668951,0.10563053413310483,18,30
49,exp_5_LNP_A2M.czi,1,2608783,58913316,15137088,1149649,610991,71853.0625,21821.10714285714,0.4406840277631371,0.23420537469003747,1028597,121052,0.8947052535165081,0.10529474648349192,16,28
