,Filename,Scene ID,Total LNP intensity in entire img,Total membrane intensity in entire img,Total nucleus intensity in entire img,LNP intensity in membrane mask,LNP intensity in nucleus mask,LNP intensity in inner membrane mask,LNP intensity in outer membrane mask,LNP intensity in membrane mask per membrane count,LNP intensity in nucleus mask per nucleus count,Frac LNP intensity in membrane mask over total LNP intensity,Frac LNP intensity in nucleus mask over total LNP intensity,Frac LNP intensity in membrane inner mask over LNP intensity in membrane mask,Frac LNP intensity in membrane outer mask over LNP intensity in membrane mask,Membrane count,Nucleus count
0,exp_1_LNP_np.czi,0,2170517,11580895,4113451,624600,266930,526313,98287,36741.17647058824,10677.2,0.2877655415737357,0.1229799167663741,0.8426400896573807,0.1573599103426192,17,25
1,exp_1_LNP_np.czi,1,2476863,24007616,6643688,985501,413434,862317,123184,65700.06666666667,11812.4,0.3978827250437347,0.1669183963747692,0.8750036783321377,0.1249963216678623,15,35
2,exp_1_LNP_np.czi,2,2585159,26000585,8196553,1111874,406750,966088,145786,65404.35294117647,10429.48717948718,0.4300988836663431,0.1573404189065353,0.8688826251895448,0.1311173748104551,17,39
3,exp_1_LNP_np.czi,3,2310328,30273606,13382576,873337,493467,749241,124096,43666.85,12653.0,0.3780142906115495,0.2135917497428936,0.8579059400895646,0.1420940599104355,20,39
4,exp_1_LNP_np.czi,4,2619181,32926922,8799630,1145704,523455,1021918,123786,104154.90909090907,14540.416666666666,0.4374283411493898,0.1998544583211317,0.8919563866408776,0.1080436133591224,11,36
5,exp_1_LNP_np.czi,5,2474903,26636551,9343210,968417,372403,862379,106038,48420.85,10640.085714285717,0.3912949315589338,0.150471755862755,0.8905037809125614,0.1094962190874385,20,35
6,exp_1_LNP_np.czi,6,2177759,43811161,8693977,864958,368752,735689,129269,54059.875,6469.333333333333,0.3971780164839176,0.1693263579670661,0.8505488127747243,0.1494511872252756,16,57
7,exp_1_LNP_np.czi,7,2069983,37435238,9491611,527037,188681,432198,94839,35135.8,6506.241379310345,0.2546093373713697,0.0911509901289044,0.8200524820838005,0.1799475179161994,15,29
8,exp_1_LNP_np.czi,8,2118248,31643437,9556479,537305,224546,433405,103900,26865.25,6415.6,0.2536553793512374,0.1060055290976316,0.8066275206819218,0.1933724793180782,20,35
9,exp_1_LNP_np.czi,9,2604273,36780775,11010529,1029023,504563,887171,141852,49001.09523809524,12306.414634146342,0.3951286981049989,0.1937442810335168,0.8621488538157067,0.1378511461842932,21,41
10,exp_1_LNP_np.czi,10,2895262,40885202,8336273,949966,504651,774180,175786,49998.21052631579,21941.347826086956,0.3281105475083084,0.1743023602009075,0.8149554826172726,0.1850445173827273,19,23
11,exp_1_LNP_np.czi,11,2359975,43211819,27694971,1003171,533396,850462,152709,50158.55,15688.117647058823,0.4250769605610229,0.2260176484920391,0.8477737095669632,0.1522262904330368,20,34
12,exp_2_cellonly_np.czi,0,156052,19896119,6028621,52269,22528,45351,6918,3074.6470588235293,834.3703703703703,0.3349460436264835,0.1443621356983569,0.8676462147735752,0.1323537852264248,17,27
13,exp_2_cellonly_np.czi,1,157972,11776811,3560307,20142,7322,16851,3291,4028.4,1464.4,0.1275036082343706,0.0463499860734813,0.8366100685135538,0.1633899314864462,5,5
14,exp_2_cellonly_np.czi,2,216612,15182644,7296585,60728,22445,51821,8907,4337.714285714285,701.40625,0.2803538123464997,0.1036184514246671,0.8533296008431037,0.1466703991568963,14,32
15,exp_2_cellonly_np.czi,3,168764,38868703,14045537,67809,42751,57729,10080,3568.8947368421054,1644.2692307692307,0.4017977767770377,0.2533182432272285,0.8513471663053577,0.1486528336946423,19,26
16,exp_2_cellonly_np.czi,4,212956,31815742,21105721,80765,41621,68368,12397,4250.789473684211,1387.3666666666666,0.3792567478728,0.1954441293037059,0.8465052931344023,0.1534947068655977,19,30
17,exp_2_cellonly_np.czi,5,269898,27755090,15624949,101991,42629,87777,14214,5099.55,1039.7317073170732,0.3778872018318031,0.1579448532408539,0.860634761890755,0.1393652381092449,20,41
18,exp_2_cellonly_np.czi,6,189610,27192440,11878983,84903,50765,68946,15957,3537.625,1153.75,0.4477770159801698,0.2677337693159643,0.8120561110914809,0.1879438889085191,24,44
