,Scene ID,Scene ID,Scene ID,Scene ID,Scene ID,Scene ID,Scene ID,Scene ID,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Membrane count,Membrane count,Membrane count,Membrane count,Membrane count,Membrane count,Membrane count,Membrane count,Nucleus count,Nucleus count,Nucleus count,Nucleus count,Nucleus count,Nucleus count,Nucleus count,Nucleus count
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_10_LNP_np.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,2451111.5,464103.07019659877,1690169.0,2097033.5,2494881.5,2861279.25,3034809.0,12.0,52369632.75,24470683.37672383,7946635.0,40839732.5,50615024.5,65814901.0,106714354.0,12.0,21089884.583333332,7379006.283271512,4846405.0,15809839.5,23945595.5,26564247.5,29610032.0,12.0,908907.75,395173.70247735246,77088.0,684990.75,1032267.0,1200055.75,1369677.0,12.0,602836.4166666666,295869.7263823013,47670.0,397466.0,631286.5,813691.75,1001100.0,12.0,46995.64639766701,14705.942147403108,19572.736842105263,38274.391304347824,45128.28142857143,60002.787500000006,69122.61111111111,12.0,22321.441123364348,7162.332398926425,10540.18918918919,16484.235416666666,24097.272727272728,26150.94893899204,34726.107142857145,12.0,0.35341092020181425,0.12175625230136249,0.04560964021941001,0.3289475453181567,0.389264484865964,0.43148012482349424,0.4791670508584381,12.0,0.23254336259394134,0.08958193569543364,0.028204280163699608,0.18953166478678063,0.24537214198387128,0.2970532427489293,0.3406286663357294,12.0,766539.75,337554.27785660705,64934.0,575899.75,887876.0,982667.25,1173063.0,12.0,142368.0,66000.26664822169,12154.0,101074.5,151891.5,185367.75,251665.0,12.0,0.8403920336204225,0.033345535840224365,0.7773245276727564,0.8241395909931004,0.8404070388108844,0.8685969904064418,0.88601026900015,12.0,0.15960796637957758,0.03334553584022436,0.11398973099985002,0.13140300959355822,0.1595929611891157,0.1758604090068996,0.22267547232724358,12.0,19.333333333333332,6.719487714961249,2.0,17.75,20.0,23.0,29.0,12.0,27.166666666666668,9.684414220172473,2.0,23.5,28.5,32.75,39.0
exp_11_LNP_VTN.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,6138733.666666667,1077963.82895045,4022479.0,5717593.0,6473252.5,6825063.0,7519311.0,12.0,31086489.25,9097682.842647852,16290159.0,25676806.75,28884140.5,34938507.75,47445626.0,12.0,22148322.333333332,5768741.661051022,13580439.0,18932831.25,21328669.5,27530697.0,31056112.0,12.0,3496268.4166666665,1276479.8665233057,905587.0,2842003.75,3760913.5,4338393.5,4979294.0,12.0,2219522.9166666665,706870.6065276803,938617.0,1988279.75,2229500.0,2682924.75,3282094.0,12.0,214340.4878569995,87291.51096829855,90558.7,133855.34902597405,256111.94590643275,271572.30000000005,349369.8333333333,12.0,98146.9721058656,23213.07368936411,44696.04761904762,91639.12,95636.37084398977,111502.54583333334,142644.2142857143,12.0,0.5485510959336997,0.1360240016891746,0.22513156687704275,0.505080418018548,0.5785029231358894,0.6475057163491911,0.6805008733783869,12.0,0.3531052848099148,0.06945578216036083,0.2120727441978165,0.33108428541593293,0.3511595381906546,0.40317977714184067,0.4538489492356418,12.0,2744605.3333333335,1092087.3289400134,662034.0,2050638.25,2923794.0,3526973.5,4009178.0,12.0,751663.0833333334,210829.11096277967,243553.0,750625.25,796687.0,857248.75,1021878.0,12.0,0.7736680073574967,0.04047738919979703,0.72056141642843,0.7308298843710076,0.781165227119871,0.8035530268307902,0.8269083644132817,12.0,0.22633199264250312,0.040477389199797015,0.17309163558671828,0.19644697316920975,0.21883477288012898,0.26917011562899235,0.27943858357157,12.0,16.75,4.048007366144933,10.0,14.5,16.5,19.5,23.0,12.0,22.833333333333332,6.027713773341707,11.0,20.75,23.5,25.5,34.0
exp_12_LNP_A2M.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,2547648.4166666665,364304.8944904799,1850518.0,2405344.25,2521021.5,2714857.0,3246198.0,12.0,68653766.25,25980977.0984406,34174332.0,55941745.25,57656597.5,85126500.5,127019509.0,12.0,25981859.5,5275014.490007303,17437805.0,22589990.25,25933693.5,28248915.5,34700187.0,12.0,977861.4166666666,275734.2456162054,521977.0,844993.0,959757.5,1123663.75,1407770.0,12.0,580915.0,165856.0649237766,317655.0,515796.25,563965.5,647557.0,922273.0,12.0,46859.67737047077,11054.472775318625,30704.529411764706,36305.482954545456,48882.115909090906,55292.92505720824,61207.391304347824,12.0,21571.591152220364,7156.777736892953,11765.0,16789.015625,20886.067708333336,25460.161538461536,38428.041666666664,12.0,0.37760690207094827,0.06304175170340431,0.26862375301864766,0.35529613356397954,0.37988351626274813,0.3985759984783702,0.4831017177621049,12.0,0.22586203499829063,0.04595190502329994,0.13572378326921467,0.20517049552358974,0.2221177163356069,0.24711973343268367,0.31649464795073756,12.0,801909.6666666666,232925.82414280743,424628.0,686682.75,779584.0,930051.5,1138038.0,12.0,175951.75,46441.74701929876,97349.0,139618.75,179384.0,193701.25,269732.0,12.0,0.8181455457555461,0.017778785253709503,0.7901037218009833,0.8089547980805252,0.8142445013444997,0.8270925860671191,0.8500347907422405,12.0,0.1818544542444539,0.017778785253709507,0.14996520925775947,0.17290741393288095,0.18575549865550023,0.19104520191947488,0.2098962781990167,12.0,20.75,2.3011854652449344,17.0,19.75,21.0,22.25,24.0,12.0,27.583333333333332,5.017393987344668,20.0,23.75,26.5,32.0,36.0
exp_13_LNP_CR.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,3183809.6666666665,424101.49859809683,2406759.0,3005506.75,3182842.5,3361077.25,3940638.0,12.0,57907333.833333336,23283054.813700378,27164195.0,45611195.0,52469383.5,65829446.75,100667445.0,12.0,26676212.083333332,7053415.175421691,18246236.0,21300446.75,24876926.5,30401898.25,40976437.0,12.0,1021045.75,286185.592461232,545235.0,879679.75,1068036.0,1236961.25,1363604.0,12.0,796968.8333333334,210335.58363107333,474623.0,683591.5,785208.0,844062.25,1222142.0,12.0,50758.66653370362,14454.907257908113,25963.571428571428,42914.06428571429,54449.33596837944,57755.135765550236,75755.77777777778,12.0,31296.514920509424,8944.350495995874,20554.176470588234,24247.84107142857,30073.071684587812,34310.44296296296,48885.68,12.0,0.3170765981648643,0.06686050353084771,0.19547064036712986,0.28281465635654407,0.3366402311606833,0.36068377044891675,0.4084036991035571,12.0,0.2467033112856398,0.03367519939215442,0.19720420698541066,0.22846133323494686,0.23443841371987012,0.26408459057819983,0.3101381045404323,12.0,803623.5,234251.8009786206,422316.0,700199.5,846917.0,958170.0,1131188.0,12.0,217422.25,84562.61659442342,121132.0,160105.0,209907.5,237938.25,438796.0,12.0,0.78539543350099,0.050597152080090455,0.669651225907771,0.7633042731876479,0.7965389055709622,0.8248815278355145,0.8418227392371413,12.0,0.21460456649901014,0.05059715208009045,0.15817726076285865,0.17511847216448553,0.20346109442903776,0.23669572681235213,0.33034877409222896,12.0,20.166666666666668,1.6966991126265962,18.0,18.75,20.0,21.25,23.0,12.0,25.916666666666668,4.294993561924127,18.0,24.75,26.0,27.25,34.0
exp_14_cellonly_np.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,317393.4166666667,100176.1455015009,182506.0,236269.25,300355.0,399516.5,473377.0,12.0,61594876.583333336,26553095.114792064,31995739.0,41504577.25,51059050.5,80962668.0,119011028.0,12.0,22864662.416666668,6349423.411728236,16657230.0,18435578.5,19983214.5,29208147.75,33414310.0,12.0,96359.25,26586.880548410612,56177.0,76040.75,99971.5,113304.5,140995.0,12.0,56576.25,18407.039335907237,24982.0,42681.0,60813.5,68174.0,83646.0,12.0,5275.032347689075,1496.4374143189261,3080.818181818182,4224.558571428572,4854.34375,6425.869047619048,7833.055555555556,12.0,2156.833350253438,514.6929742204729,1387.888888888889,1759.528409090909,2197.378516624041,2497.1716666666666,3008.36,12.0,0.3163353432709503,0.08419499326055069,0.23436092030012542,0.24274980799760987,0.28612442222562673,0.38213478357333597,0.4436456451947662,12.0,0.18644549226382565,0.06499950037689814,0.10429068806305367,0.13237908988639008,0.18289147685571222,0.21312064715282247,0.3057673761191349,12.0,78977.0,22641.758075009828,47907.0,61702.25,78347.5,92760.0,120267.0,12.0,17382.25,5194.067019643225,8270.0,14338.5,18887.0,20875.0,24743.0,12.0,0.8195775900798249,0.030754027482789426,0.7512741382603364,0.8054658307126641,0.8259898864923164,0.844210400864857,0.8529876945990993,12.0,0.18042240992017508,0.030754027482789437,0.14701230540090074,0.15578959913514295,0.17401011350768358,0.1945341692873359,0.24872586173966366,12.0,18.583333333333332,3.7527767497325675,14.0,15.5,18.0,22.0,25.0,12.0,26.333333333333332,7.139306476801299,17.0,21.75,26.0,30.0,42.0
exp_15_LNP_np.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,2410107.5833333335,371798.2877099938,1583479.0,2354943.0,2437714.5,2555393.0,2913132.0,12.0,69137630.16666667,26724805.212203603,37767153.0,49033045.5,64344829.5,83611786.5,115612904.0,12.0,31111534.916666668,6624770.910904254,20556692.0,26451355.0,31265812.5,36328931.0,40285982.0,12.0,836101.5833333334,237263.64092884227,389590.0,703206.75,913108.0,1009971.0,1097027.0,12.0,572584.6666666666,212339.71755798787,280258.0,426441.5,536846.5,757631.25,949907.0,12.0,46934.87179309117,18084.80059924001,19479.5,35818.787307692306,41564.88888888889,60061.396875,75006.61538461539,12.0,22992.388409113366,7341.31704326288,11396.038461538461,18285.560483870966,23448.977272727272,28023.588383838385,36534.88461538462,12.0,0.34195475284775356,0.06721323866339143,0.24072745085112934,0.28757113020499764,0.35406830386183197,0.39652888579389783,0.4278376088536131,12.0,0.23580216173435373,0.07606113215189467,0.11693504980602479,0.1911675442939761,0.2066491951081988,0.3062548606408154,0.38254559483810896,12.0,689603.9166666666,211912.83197041112,320697.0,571048.25,756551.0,872469.0,918528.0,12.0,146497.66666666666,41903.113621203796,68893.0,122623.0,148432.5,179827.5,200335.0,12.0,0.8195149602996507,0.04760281311528513,0.7084275656908419,0.8013347369590194,0.830226897886402,0.8514303227436159,0.8897133175945506,12.0,0.18048503970034915,0.04760281311528513,0.11028668240544937,0.14856967725638415,0.16977310211359797,0.1986652630409806,0.29157243430915813,12.0,18.75,4.330127018922194,13.0,15.0,18.0,21.0,26.0,12.0,24.75,3.792936017963345,19.0,22.0,25.0,26.25,31.0
exp_16_LNP_VTN.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,3999358.5833333335,923096.0458884062,2217331.0,3373850.75,3851153.0,4774074.5,5234830.0,12.0,20767187.916666668,8003480.627662242,8645733.0,14389836.75,19178410.0,28989933.25,31507188.0,12.0,19272396.25,6266801.67953454,11011315.0,16386629.75,18889994.0,21036366.75,30679783.0,12.0,1688539.9166666667,826922.8757229428,413264.0,1166083.25,1371577.5,2457327.0,3033856.0,12.0,1100807.1666666667,383851.3282243609,611267.0,700103.5,1166038.0,1365139.5,1668032.0,12.0,130194.28607659326,61583.23106251456,25829.0,98153.3020361991,124080.78708133972,160536.0919117647,229957.63636363635,12.0,69092.32699263011,19531.449422950147,27784.863636363636,56299.82157894737,71287.625,84369.01666666666,92668.44444444444,12.0,0.39873884533241877,0.12313987063099333,0.1863790295630197,0.3146030538676589,0.39972888388915256,0.4868329805032075,0.5951031319132042,12.0,0.2733541092164727,0.06506959750870123,0.16374363257705613,0.23037656649048,0.27199174166009543,0.3150503485126508,0.37449859283835485,12.0,1264216.0833333333,675607.5392668921,255039.0,877867.75,1031210.0,1873325.25,2301769.0,12.0,424323.8333333333,176658.84133438117,158225.0,289956.5,388821.0,600022.75,732087.0,12.0,0.7271196623741149,0.07813499800943749,0.5448607725325854,0.7192334197632312,0.743171209773703,0.761045739914312,0.8425713985263689,12.0,0.27288033762588515,0.0781349980094375,0.1574286014736311,0.23895426008568804,0.25682879022629695,0.2807665802367688,0.45513922746741464,12.0,13.583333333333334,3.679385653594739,8.0,11.0,13.5,17.0,19.0,12.0,16.416666666666668,4.832810839052218,8.0,14.5,16.0,19.25,25.0
exp_17_LNP_A2M.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,2503594.5833333335,469770.432562633,1827086.0,2139849.25,2576567.0,2740522.0,3469626.0,12.0,68574401.83333333,20484973.77175201,36880173.0,54116752.0,69742702.0,82428663.0,102050824.0,12.0,22266781.416666668,6247985.241861651,14519670.0,17075969.25,20631622.5,26457172.25,33316553.0,12.0,767097.8333333334,320478.2920136241,320915.0,553134.0,719842.0,949355.25,1512101.0,12.0,436118.5,256429.3613437857,228126.0,267753.0,357388.0,529133.5,1136364.0,12.0,50179.948199900595,18911.418171369274,21394.333333333332,40000.93863636364,47090.13333333333,60336.021875,88947.11764705883,12.0,22330.95190521624,9018.878179422056,13810.70588235294,18110.424107142855,19012.75,22967.220238095237,47348.5,12.0,0.3010950054850672,0.09602024301912924,0.1756430731777267,0.22443933077420722,0.28634503240551357,0.35865289180142196,0.5098832168919231,12.0,0.172486968648871,0.08417996683285581,0.0803211635347565,0.12794697579125341,0.14011624829328354,0.22396912738852287,0.3831840147451614,12.0,650666.3333333334,299445.9930311712,249368.0,416933.25,612667.5,802381.75,1369760.0,12.0,116431.5,34911.89879083947,70150.0,89394.25,117428.0,144525.75,170880.0,12.0,0.8367952995626995,0.048008758756337214,0.7326836207674464,0.8128489782185019,0.8442222615877188,0.8679322263772735,0.9058654150747867,12.0,0.16320470043730048,0.0480087587563372,0.09413458492521333,0.13206777362272648,0.15577773841228115,0.18715102178149814,0.2673163792325536,12.0,15.416666666666666,3.117642854737689,11.0,13.75,15.0,16.25,22.0,12.0,18.833333333333332,4.344972713238586,12.0,16.75,19.0,21.25,26.0
