Number of erosions,exp_10_LNP_np.czi,exp_11_LNP_VTN.czi,exp_12_LNP_A2M.czi,exp_13_LNP_CR.czi,exp_14_cellonly_np.czi,exp_15_LNP_np.czi,exp_16_LNP_VTN.czi,exp_17_LNP_A2M.czi,exp_18_LNP_CR.czi,exp_1_LNP_np.czi,exp_20_LNP_APOE.czi,exp_21_cellonly_APOE.czi,exp_22_LNP_APOE.czi,exp_23_LNP_APOE.czi,exp_2_cellonly_np.czi,exp_3_LNP_VTN.czi,exp_4_cellonly_VTN.czi,exp_5_LNP_A2M.czi,exp_6_cellonly_A2M.czi,exp_7_LNP_CR.czi,exp_8_cellonly_CR.czi,exp_9_cellonly_np.czi
1,0.012633102790342075,0.014195907401646992,0.013604165072288558,0.017257346752605807,0.015452195457504375,0.015228243276953157,0.02127232418257938,0.014306557357765141,0.016370771515273077,0.014654339016028417,0.014161205479735884,0.051049752426683914,0.017091872956023883,0.015302443529076391,0.014562702395353124,0.028645092965962318,0.027494693324738046,0.013211532171668665,0.016894726148717634,0.01793776975441656,0.015017511095093349,0.011502687233063033
2,0.022314996693886327,0.0266464130259111,0.02387943568005173,0.03016351569740829,0.02666795786117329,0.026580375346033816,0.038805956783379066,0.0247455092510762,0.028722698705363276,0.02564064083146664,0.025762416171118335,0.08990379953050914,0.030869066302597777,0.027520572843720698,0.025496050790241767,0.05116099799804986,0.04737444798199659,0.022829238321934623,0.029148468375431183,0.031077644654683986,0.02607076201281286,0.020008957613420964
3,0.0315937915698755,0.04000679858997428,0.033923034244243616,0.042485313802792156,0.03745831609961427,0.03730636360654514,0.056820958369933276,0.03467677187561707,0.0405086190965648,0.03607952792717333,0.037782077364304584,0.12585197887282926,0.044853325368821306,0.03985243912225554,0.036124828110340824,0.07377075785216063,0.06593514337827265,0.03190587312059645,0.04069231568851487,0.043373060006295434,0.036445937761020335,0.027975113216085534
4,0.04100644852142659,0.05435363869902568,0.04414092379630626,0.054709046357972614,0.04804959096134446,0.04789902711638219,0.07550238883820404,0.0444731124936516,0.05209360777324181,0.046715285972727845,0.05036851144671433,0.1599968172808222,0.059422188781255846,0.05241912860443874,0.04688687677084543,0.09669566665390045,0.08382505087084978,0.04095673451733299,0.05182368826189369,0.0553070490999214,0.046896622756828536,0.035898421213323796
5,0.050830395018609385,0.06997916555954337,0.0548449335483811,0.0671126380715794,0.05890714155704387,0.05868274870489721,0.09518620014640955,0.05458297394795201,0.06386817606189758,0.05780058690663825,0.06398077695300113,0.19324732372167183,0.0749853909475502,0.06570467212148581,0.058160300391107304,0.12056791901401243,0.10161248283446676,0.05025250101602535,0.06311111828730123,0.06735756315718254,0.057908974700985986,0.04370945581519955
6,0.06107265467432361,0.08648311803336937,0.06594941731509503,0.07993572106489509,0.06985773010824813,0.06955080823615574,0.11546262165345196,0.06507225884505188,0.07587556643581343,0.06955240485182063,0.07836915605167992,0.22534699320447418,0.09137729997207288,0.0794571387621607,0.06976813524439295,0.14478654702940266,0.11974052226453002,0.05985958230999542,0.07443620209217096,0.079488948328822,0.06918390525967076,0.05182177171280999
7,0.0717382457817821,0.10404329040254524,0.07762301736570738,0.09316393981019051,0.08108514484109293,0.08073738150080487,0.13652068247614005,0.07601793723351592,0.08825350962749105,0.08200480712329618,0.09374508582103236,0.2560509160388639,0.10878938732944098,0.09384594661022348,0.08159782713467942,0.16943178244444002,0.13806775686889203,0.06991462432055547,0.08597922493168521,0.09191555857770757,0.0809290464039035,0.0602290073886834
8,0.08283090517256425,0.12208351094337198,0.08962713425530057,0.10671578068136339,0.0922965188671155,0.0921474053146683,0.1577546846519506,0.08736668004113957,0.1007191963740357,0.0951285903820893,0.1098889861678287,0.2858634802597634,0.12711007036084981,0.1086198384531416,0.09412706945756716,0.19372090156451635,0.1564218998528059,0.08047753346029503,0.0978737839752624,0.10461525342198053,0.09290101202078764,0.06881533776438184
9,0.09456363895926424,0.14054311097543223,0.1020915553450762,0.12045177320546864,0.10385773414380056,0.10399697522272555,0.17926929652474774,0.0989477132692619,0.11350204833174833,0.10894030569099243,0.12693920016250826,0.3143093608061069,0.1463018836646284,0.12393415386497346,0.10709383699610264,0.21785612872772994,0.17479382485833947,0.09155062877371646,0.11019196867293742,0.11766873083265243,0.10531906172900307,0.07787293180656962
10,0.10658203569587467,0.1590142239203368,0.11489110088205962,0.13440448503250416,0.1156781186064554,0.11611127769098395,0.20046242963558372,0.11091655786961746,0.126428311794528,0.12322975751647669,0.14452266079356224,0.3416061690224739,0.16614604236013114,0.13949914488773418,0.12050394908071083,0.2413122634489097,0.19305770499077876,0.1029806616932169,0.12265697686480519,0.13094126449314739,0.11798852358026547,0.08725298816802345
