,Filename,Scene ID,Number of erosions,LNP intensity in inner membrane mask,LNP intensity in outer membrane mask,Frac LNP intensity in membrane inner mask over LNP intensity in membrane mask,Frac LNP intensity in membrane outer mask over LNP intensity in membrane mask
0,exp_1_LNP_np.czi,0,1,571350,13927,0.9762044296973912,0.0237955703026088
1,exp_1_LNP_np.czi,0,2,562254,23023,0.9606630706485988,0.0393369293514011
2,exp_1_LNP_np.czi,0,3,554435,30842,0.9473035844565908,0.0526964155434093
3,exp_1_LNP_np.czi,0,4,546186,39091,0.9332094034106928,0.0667905965893072
4,exp_1_LNP_np.czi,0,5,537905,47372,0.919060547398924,0.080939452601076
5,exp_1_LNP_np.czi,0,6,529314,55963,0.9043820276552812,0.0956179723447188
6,exp_1_LNP_np.czi,0,7,520248,65029,0.8888919263869929,0.1111080736130071
7,exp_1_LNP_np.czi,0,8,511113,74164,0.8732839322235454,0.1267160677764545
8,exp_1_LNP_np.czi,0,9,501346,83931,0.8565961074841485,0.1434038925158514
9,exp_1_LNP_np.czi,0,10,491333,93944,0.8394879689446194,0.1605120310553806
10,exp_1_LNP_np.czi,0,11,481119,104158,0.8220364032757139,0.1779635967242861
11,exp_1_LNP_np.czi,0,12,470719,114558,0.8042670393676841,0.195732960632316
12,exp_1_LNP_np.czi,0,13,459874,125403,0.7857373517155125,0.2142626482844875
13,exp_1_LNP_np.czi,0,14,448724,136553,0.7666865432948843,0.2333134567051157
14,exp_1_LNP_np.czi,0,15,437502,147775,0.7475127162010466,0.2524872837989533
15,exp_1_LNP_np.czi,0,16,426296,158981,0.7283662265901445,0.2716337734098555
16,exp_1_LNP_np.czi,0,17,415649,169628,0.7101748402892989,0.2898251597107011
17,exp_1_LNP_np.czi,0,18,405035,180242,0.6920398375470077,0.3079601624529923
18,exp_1_LNP_np.czi,0,19,395028,190249,0.6749419505635793,0.3250580494364207
19,exp_1_LNP_np.czi,0,20,384879,200398,0.657601443419099,0.342398556580901
20,exp_1_LNP_np.czi,1,1,1002630,13009,0.9871913150243344,0.0128086849756655
21,exp_1_LNP_np.czi,1,2,992639,23000,0.9773541583180638,0.0226458416819362
22,exp_1_LNP_np.czi,1,3,983230,32409,0.9680900398665274,0.0319099601334726
23,exp_1_LNP_np.czi,1,4,973577,42062,0.9585856785728,0.0414143214272
24,exp_1_LNP_np.czi,1,5,963246,52393,0.9484137572503616,0.0515862427496384
25,exp_1_LNP_np.czi,1,6,952135,63504,0.937473846514362,0.0625261534856381
26,exp_1_LNP_np.czi,1,7,940497,75142,0.926015050623302,0.0739849493766978
27,exp_1_LNP_np.czi,1,8,928617,87022,0.914317981093676,0.085682018906324
28,exp_1_LNP_np.czi,1,9,916531,99108,0.9024180835907246,0.0975819164092753
29,exp_1_LNP_np.czi,1,10,904319,111320,0.8903941262594288,0.1096058737405712
30,exp_1_LNP_np.czi,1,11,891501,124138,0.8777735002299045,0.1222264997700954
31,exp_1_LNP_np.czi,1,12,878292,137347,0.8647678948917873,0.1352321051082126
32,exp_1_LNP_np.czi,1,13,864576,151063,0.8512630964348553,0.1487369035651447
33,exp_1_LNP_np.czi,1,14,850582,165057,0.8374845786741155,0.1625154213258844
34,exp_1_LNP_np.czi,1,15,836103,179536,0.8232285290344306,0.1767714709655694
35,exp_1_LNP_np.czi,1,16,820991,194648,0.8083492264475862,0.1916507735524138
36,exp_1_LNP_np.czi,1,17,805120,210519,0.792722611085238,0.207277388914762
37,exp_1_LNP_np.czi,1,18,789287,226352,0.7771334105917556,0.2228665894082444
38,exp_1_LNP_np.czi,1,19,773320,242319,0.7614122734554305,0.2385877265445694
39,exp_1_LNP_np.czi,1,20,757089,258550,0.7454312014406693,0.2545687985593306
40,exp_1_LNP_np.czi,2,1,1113976,17101,0.9848807817681732,0.0151192182318268
41,exp_1_LNP_np.czi,2,2,1100849,30228,0.9732750290210128,0.0267249709789872
42,exp_1_LNP_np.czi,2,3,1088554,42523,0.962404858378342,0.0375951416216579
